symbol,setup,tp_rr,sl_atr,max_hold,coverage_ok,coverage_reasons,cost_ok,fee_r,cost_reason,skip_reason,trades,net_r,pf,win_rate,folds_positive,min_fold_trades,preflight_go,preflight_reasons
EURUSD,round_level_sweep,2.0,1.3,24,True,,True,0.1662,,,3,5.233,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
EURUSD,round_level_sweep,2.0,1.3,48,True,,True,0.1662,,,3,5.233,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
EURUSD,round_level_sweep,2.0,1.3,96,True,,True,0.1662,,,3,5.233,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
EURUSD,round_level_sweep,2.0,1.6,24,True,,True,0.135,,,3,5.377,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
EURUSD,round_level_sweep,2.0,1.6,48,True,,True,0.135,,,3,5.377,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
EURUSD,round_level_sweep,2.0,1.6,96,True,,True,0.135,,,3,5.377,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
EURUSD,round_level_sweep,2.0,2.0,24,True,,True,0.108,,,3,4.993,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
EURUSD,round_level_sweep,2.0,2.0,48,True,,True,0.108,,,3,5.502,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
EURUSD,round_level_sweep,2.0,2.0,96,True,,True,0.108,,,3,5.502,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
EURUSD,round_level_sweep,2.0,2.5,24,True,,True,0.0864,,,3,4.701,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
EURUSD,round_level_sweep,2.0,2.5,48,True,,True,0.0864,,,3,5.601,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
EURUSD,round_level_sweep,2.0,2.5,96,True,,True,0.0864,,,3,5.601,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
EURUSD,round_level_sweep,2.5,1.3,24,True,,True,0.1662,,,3,6.733,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
EURUSD,round_level_sweep,2.5,1.3,48,True,,True,0.1662,,,3,6.733,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
EURUSD,round_level_sweep,2.5,1.3,96,True,,True,0.1662,,,3,6.733,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
EURUSD,round_level_sweep,2.5,1.6,24,True,,True,0.135,,,3,6.242,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
EURUSD,round_level_sweep,2.5,1.6,48,True,,True,0.135,,,3,6.877,inf,1.0,3,0,False,too_few_total_3<30;thin_fold_0<5
