SFV3_LEVEL_TOL_ATR,SFV3_REJECT_FRAC,SFV3_SPIKE_MIN_PCT,SFV3_STOP_BUFFER_ATR,SFV3_TAG_LEVEL_ATR,avg_loss,avg_win,combo,cross_symbol,days,end_date_utc,ending_equity,entry_execution,fee_bps_per_side,fold,max_drawdown,net_pnl,news_blocked_signals,phase,profit_factor,selected_train_tag,slippage_bps_per_side,starting_equity,strategies,stress,summary_path,symbols,tag,trades,winrate
0.35,0.50,4.0,0.25,0.6,-0.4049,0.6220,1,,240,2025-07-05,99.71,next_open,6.0000,1,3.3484,-0.29,0,train,0.945,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_103904_sfv3_robust_gate_20260701_v2_f01_train_c001_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c001_20260701_073903,21,0.381
0.35,0.50,4.0,0.40,0.6,-0.4472,0.6571,2,,240,2025-07-05,99.89,next_open,6.0000,1,2.4358,-0.11,0,train,0.979,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_103931_sfv3_robust_gate_20260701_v2_f01_train_c002_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c002_20260701_073903,20,0.400
0.35,0.55,4.0,0.25,0.6,-0.3955,0.6233,3,,240,2025-07-05,100.24,next_open,6.0000,1,2.8346,0.24,0,train,1.051,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_103958_sfv3_robust_gate_20260701_v2_f01_train_c003_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c003_20260701_073903,20,0.400
0.35,0.55,4.0,0.40,0.6,-0.4522,0.6593,4,,240,2025-07-05,101.20,next_open,6.0000,1,2.0355,1.20,0,train,1.296,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104025_sfv3_robust_gate_20260701_v2_f01_train_c004_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c004_20260701_073903,17,0.471
0.35,0.50,4.0,0.25,0.8,-0.3770,0.6054,5,,240,2025-07-05,99.57,next_open,6.0000,1,3.4912,-0.43,0,train,0.918,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104052_sfv3_robust_gate_20260701_v2_f01_train_c005_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c005_20260701_073903,22,0.364
0.35,0.50,4.0,0.40,0.8,-0.4470,0.6048,6,,240,2025-07-05,100.08,next_open,6.0000,1,2.5391,0.08,0,train,1.015,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104119_sfv3_robust_gate_20260701_v2_f01_train_c006_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c006_20260701_073903,21,0.429
0.35,0.55,4.0,0.25,0.8,-0.3537,0.6074,7,,240,2025-07-05,100.61,next_open,6.0000,1,2.4704,0.61,0,train,1.145,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104145_sfv3_robust_gate_20260701_v2_f01_train_c007_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c007_20260701_073903,20,0.400
0.35,0.55,4.0,0.40,0.8,-0.4518,0.6069,8,,240,2025-07-05,101.40,next_open,6.0000,1,2.0348,1.40,0,train,1.343,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104212_sfv3_robust_gate_20260701_v2_f01_train_c008_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c008_20260701_073903,18,0.500
0.35,0.50,5.0,0.25,0.6,-0.4385,0.5014,9,,240,2025-07-05,97.93,next_open,6.0000,1,3.0877,-2.07,0,train,0.327,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104238_sfv3_robust_gate_20260701_v2_f01_train_c009_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c009_20260701_073903,9,0.222
0.35,0.50,5.0,0.40,0.6,-0.4553,0.5149,10,,240,2025-07-05,96.93,next_open,6.0000,1,3.6995,-3.07,0,train,0.251,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104304_sfv3_robust_gate_20260701_v2_f01_train_c010_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c010_20260701_073903,11,0.182
0.35,0.55,5.0,0.25,0.6,-0.4398,0.5023,11,,240,2025-07-05,98.37,next_open,6.0000,1,2.6566,-1.63,0,train,0.381,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104330_sfv3_robust_gate_20260701_v2_f01_train_c011_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c011_20260701_073903,8,0.250
0.35,0.55,5.0,0.40,0.6,-0.4469,0.5177,12,,240,2025-07-05,97.46,next_open,6.0000,1,3.1772,-2.54,0,train,0.290,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104356_sfv3_robust_gate_20260701_v2_f01_train_c012_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c012_20260701_073903,10,0.200
0.35,0.50,5.0,0.25,0.8,-0.4397,0.5696,13,,240,2025-07-05,98.63,next_open,6.0000,1,2.3929,-1.37,0,train,0.555,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104422_sfv3_robust_gate_20260701_v2_f01_train_c013_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c013_20260701_073903,10,0.300
0.35,0.50,5.0,0.40,0.8,-0.4570,0.5806,14,,240,2025-07-05,97.63,next_open,6.0000,1,3.0100,-2.37,0,train,0.423,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104448_sfv3_robust_gate_20260701_v2_f01_train_c014_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c014_20260701_073903,12,0.250
0.35,0.55,5.0,0.25,0.8,-0.4418,0.5714,15,,240,2025-07-05,99.06,next_open,6.0000,1,2.1486,-0.94,0,train,0.647,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104513_sfv3_robust_gate_20260701_v2_f01_train_c015_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c015_20260701_073903,9,0.333
0.35,0.55,5.0,0.40,0.8,-0.4492,0.5837,16,,240,2025-07-05,98.16,next_open,6.0000,1,2.6525,-1.84,0,train,0.487,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104539_sfv3_robust_gate_20260701_v2_f01_train_c016_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c016_20260701_073903,11,0.273
0.50,0.50,4.0,0.25,0.6,-0.3419,0.6776,17,,240,2025-07-05,98.94,next_open,6.0000,1,2.5494,-1.06,0,train,0.793,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104605_sfv3_robust_gate_20260701_v2_f01_train_c017_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c017_20260701_073903,21,0.286
0.50,0.50,4.0,0.40,0.6,-0.4272,0.8201,18,,240,2025-07-05,97.69,next_open,6.0000,1,3.3503,-2.31,0,train,0.640,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104632_sfv3_robust_gate_20260701_v2_f01_train_c018_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c018_20260701_073903,20,0.250
0.50,0.55,4.0,0.25,0.6,-0.3417,0.6786,19,,240,2025-07-05,99.29,next_open,6.0000,1,2.5013,-0.71,0,train,0.851,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104658_sfv3_robust_gate_20260701_v2_f01_train_c019_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c019_20260701_073903,20,0.300
0.50,0.55,4.0,0.40,0.6,-0.4211,0.8210,20,,240,2025-07-05,98.21,next_open,6.0000,1,3.0930,-1.79,0,train,0.696,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104724_sfv3_robust_gate_20260701_v2_f01_train_c020_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c020_20260701_073903,19,0.263
0.50,0.50,4.0,0.25,0.8,-0.3537,0.6770,21,,240,2025-07-05,98.40,next_open,6.0000,1,3.0742,-1.60,0,train,0.718,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104751_sfv3_robust_gate_20260701_v2_f01_train_c021_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c021_20260701_073903,22,0.273
0.50,0.50,4.0,0.40,0.8,-0.4312,0.7875,22,,240,2025-07-05,97.04,next_open,6.0000,1,3.9979,-2.96,0,train,0.571,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104817_sfv3_robust_gate_20260701_v2_f01_train_c022_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c022_20260701_073903,21,0.238
0.50,0.55,4.0,0.25,0.8,-0.3429,0.6786,23,,240,2025-07-05,99.27,next_open,6.0000,1,2.5012,-0.73,0,train,0.848,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104842_sfv3_robust_gate_20260701_v2_f01_train_c023_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c023_20260701_073903,20,0.300
0.50,0.55,4.0,0.40,0.8,-0.4260,0.7883,24,,240,2025-07-05,97.55,next_open,6.0000,1,3.4899,-2.45,0,train,0.617,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104907_sfv3_robust_gate_20260701_v2_f01_train_c024_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c024_20260701_073903,20,0.250
0.50,0.50,5.0,0.25,0.6,-0.4248,0.5612,25,,240,2025-07-05,98.01,next_open,6.0000,1,2.5668,-1.99,0,train,0.220,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104932_sfv3_robust_gate_20260701_v2_f01_train_c025_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c025_20260701_073903,7,0.143
0.50,0.50,5.0,0.40,0.6,-0.4388,0.6275,26,,240,2025-07-05,97.56,next_open,6.0000,1,2.6738,-2.44,0,train,0.204,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_104957_sfv3_robust_gate_20260701_v2_f01_train_c026_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c026_20260701_073903,8,0.125
0.50,0.55,5.0,0.25,0.6,-0.4398,0.5612,27,,240,2025-07-05,97.92,next_open,6.0000,1,2.6566,-2.08,0,train,0.213,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105023_sfv3_robust_gate_20260701_v2_f01_train_c027_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c027_20260701_073903,7,0.143
0.50,0.55,5.0,0.40,0.6,-0.4244,0.6275,28,,240,2025-07-05,98.08,next_open,6.0000,1,2.1487,-1.92,0,train,0.246,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105049_sfv3_robust_gate_20260701_v2_f01_train_c028_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c028_20260701_073903,7,0.143
0.50,0.50,5.0,0.25,0.8,-0.4076,0.5612,29,,240,2025-07-05,98.52,next_open,6.0000,1,2.0561,-1.48,0,train,0.275,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105114_sfv3_robust_gate_20260701_v2_f01_train_c029_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c029_20260701_073903,6,0.167
0.50,0.50,5.0,0.40,0.8,-0.4484,0.6657,30,,240,2025-07-05,97.74,next_open,6.0000,1,2.4856,-2.26,0,train,0.371,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105140_sfv3_robust_gate_20260701_v2_f01_train_c030_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c030_20260701_073903,10,0.200
0.50,0.55,5.0,0.25,0.8,-0.4261,0.5612,31,,240,2025-07-05,98.43,next_open,6.0000,1,2.1486,-1.57,0,train,0.263,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105206_sfv3_robust_gate_20260701_v2_f01_train_c031_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c031_20260701_073903,6,0.167
0.50,0.55,5.0,0.40,0.8,-0.4380,0.6676,32,,240,2025-07-05,98.27,next_open,6.0000,1,2.1487,-1.73,0,train,0.435,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105232_sfv3_robust_gate_20260701_v2_f01_train_c032_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_train_c032_20260701_073903,9,0.222
0.35,0.55,4.0,0.40,0.8,-0.3948,0.4749,selected,,90,2025-10-03,100.01,next_open,6.0000,1,1.2731,0.01,0,oos,1.003,sfv3_robust_gate_20260701_v2_f01_train_c008_20260701_073903,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105258_sfv3_robust_gate_20260701_v2_f01_oos_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_oos_20260701_073903,11,0.455
0.35,0.55,4.0,0.40,0.8,-0.4324,0.4404,selected,,90,2025-10-03,99.61,next_open,10.0000,1,1.5471,-0.39,0,stress,0.849,,5.0000,100.00,spike_fade_v3,10:5,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105314_sfv3_robust_gate_20260701_v2_f01_stress_10_5_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_stress_10_5_20260701_073903,11,0.455
0.35,0.55,4.0,0.40,0.8,-0.4593,0.3379,selected,,90,2025-10-03,98.93,next_open,12.0000,1,1.7392,-1.07,0,stress,0.613,,8.0000,100.00,spike_fade_v3,12:8,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105330_sfv3_robust_gate_20260701_v2_f01_stress_12_8_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f01_stress_12_8_20260701_073903,11,0.455
0.35,0.55,4.0,0.40,0.8,-0.4042,0.3467,selected,SOLUSDT,90,2025-10-03,99.88,next_open,6.0000,1,0.8265,-0.12,0,cross,0.858,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105346_sfv3_robust_gate_20260701_v2_f01_cross_SOLUSDT_20260701_073903/summary.csv,SOLUSDT,sfv3_robust_gate_20260701_v2_f01_cross_SOLUSDT_20260701_073903,4,0.500
0.35,0.55,4.0,0.40,0.8,-0.3360,0.2291,selected,SUIUSDT,90,2025-10-03,99.11,next_open,6.0000,1,1.1030,-0.89,0,cross,0.341,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105402_sfv3_robust_gate_20260701_v2_f01_cross_SUIUSDT_20260701_073903/summary.csv,SUIUSDT,sfv3_robust_gate_20260701_v2_f01_cross_SUIUSDT_20260701_073903,6,0.333
0.35,0.55,4.0,0.40,0.8,-0.4924,0.4615,selected,DOGEUSDT,90,2025-10-03,99.85,next_open,6.0000,1,1.5460,-0.15,0,cross,0.937,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105417_sfv3_robust_gate_20260701_v2_f01_cross_DOGEUSDT_20260701_073903/summary.csv,DOGEUSDT,sfv3_robust_gate_20260701_v2_f01_cross_DOGEUSDT_20260701_073903,10,0.500
0.35,0.55,4.0,0.40,0.8,-0.5338,0.4397,selected,ADAUSDT,90,2025-10-03,99.81,next_open,6.0000,1,1.0828,-0.19,0,cross,0.824,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105433_sfv3_robust_gate_20260701_v2_f01_cross_ADAUSDT_20260701_073903/summary.csv,ADAUSDT,sfv3_robust_gate_20260701_v2_f01_cross_ADAUSDT_20260701_073903,4,0.500
0.35,0.50,4.0,0.25,0.6,-0.3788,0.5382,1,,240,2025-10-03,100.02,next_open,6.0000,2,3.3484,0.02,0,train,1.003,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105448_sfv3_robust_gate_20260701_v2_f02_train_c001_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f02_train_c001_20260701_073903,29,0.414
0.35,0.50,4.0,0.40,0.6,-0.4248,0.5677,2,,240,2025-10-03,99.31,next_open,6.0000,2,2.4358,-0.69,0,train,0.914,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105529_sfv3_robust_gate_20260701_v2_f02_train_c002_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f02_train_c002_20260701_073903,32,0.406
0.35,0.55,4.0,0.25,0.6,-0.3754,0.5392,3,,240,2025-10-03,100.84,next_open,6.0000,2,2.8346,0.84,0,train,1.149,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105610_sfv3_robust_gate_20260701_v2_f02_train_c003_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f02_train_c003_20260701_073903,27,0.444
0.35,0.55,4.0,0.40,0.6,-0.4299,0.5699,4,,240,2025-10-03,100.96,next_open,6.0000,2,2.0355,0.96,0,train,1.149,,2.0000,100.00,spike_fade_v3,,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_105650_sfv3_robust_gate_20260701_v2_f02_train_c004_20260701_073903/summary.csv,LINKUSDT,sfv3_robust_gate_20260701_v2_f02_train_c004_20260701_073903,28,0.464
