trades,net_r,pf,win_rate,avg_r,tag,symbols,positive_symbols,years,positive_years,months,positive_months,worst_month_r,top_symbol_frac
256,-78.0056,0.6397542376638539,0.375,-0.3047,bos_short_rr2.0_sl0.8_h6_b0.1_cd0,4,1,1,0,4,1,-34.0126,0.3359
158,-78.2879,0.33083776162688827,0.4367,-0.4955,bos_long_rr1.0_sl0.8_h6_b0.1_cd5,4,0,1,0,4,0,-28.7057,0.3671
157,-80.3785,0.3240948942060111,0.4268,-0.512,bos_long_rr1.0_sl0.8_h12_b0.1_cd5,4,0,1,0,4,0,-28.8081,0.3694
238,-80.5406,0.6219271245786377,0.3445,-0.3384,bos_short_rr2.0_sl0.8_h12_b0.2_cd0,4,1,1,0,4,1,-31.7213,0.3403
190,-81.3689,0.49785829378124546,0.3105,-0.4283,bos_long_rr2.0_sl1.0_h12_b0.1_cd0,4,0,1,0,4,0,-37.2623,0.3368
244,-84.0369,0.6018725566182365,0.3607,-0.3444,bos_short_rr2.0_sl0.8_h6_b0.2_cd0,4,1,1,0,4,1,-34.9848,0.3402
211,-85.9086,0.4463296425671234,0.3507,-0.4071,bos_long_rr1.5_sl1.0_h6_b0.2_cd0,4,0,1,0,4,0,-30.4646,0.3318
181,-86.2084,0.4590153029783891,0.2928,-0.4763,bos_long_rr2.0_sl1.0_h12_b0.2_cd0,4,0,1,0,4,0,-36.7348,0.3315
232,-87.5081,0.44286274554745286,0.4569,-0.3772,bos_long_rr1.0_sl1.0_h12_b0.2_cd0,4,0,1,0,4,0,-32.3933,0.3233
224,-88.782,0.45847562920750023,0.3616,-0.3963,bos_long_rr1.5_sl1.0_h6_b0.1_cd0,4,0,1,0,4,0,-35.4653,0.3482
238,-89.5874,0.4239241427737323,0.4328,-0.3764,bos_long_rr1.0_sl1.0_h6_b0.2_cd0,4,0,1,0,4,0,-35.0945,0.3235
248,-89.7676,0.4556411805085589,0.4597,-0.362,bos_long_rr1.0_sl1.0_h12_b0.1_cd0,4,0,1,0,4,0,-34.1852,0.3306
257,-89.7789,0.4476021653177526,0.4436,-0.3493,bos_long_rr1.0_sl1.0_h6_b0.1_cd0,4,0,1,0,4,0,-35.273,0.3385
201,-89.833,0.4531248097597799,0.3433,-0.4469,bos_long_rr1.5_sl1.0_h12_b0.2_cd0,4,0,1,0,4,0,-35.3507,0.3234
282,-90.9386,0.5114247983400866,0.4787,-0.3225,bos_short_rr1.0_sl1.0_h6_b0.1_cd0,4,1,1,0,4,1,-34.8488,0.3652
214,-91.3257,0.4708342531736664,0.3505,-0.4268,bos_long_rr1.5_sl1.0_h12_b0.1_cd0,4,1,1,0,4,0,-33.6654,0.3364
280,-94.6726,0.5045021186440678,0.475,-0.3381,bos_short_rr1.0_sl1.0_h12_b0.1_cd0,4,1,1,0,4,1,-37.6877,0.3643
269,-95.6969,0.47568370156286377,0.461,-0.3558,bos_short_rr1.0_sl1.0_h6_b0.2_cd0,4,1,1,0,4,1,-37.9005,0.3606
267,-98.4529,0.4735944128331175,0.4607,-0.3687,bos_short_rr1.0_sl1.0_h12_b0.2_cd0,4,1,1,0,4,1,-39.6255,0.3596
210,-106.6519,0.42519906136382496,0.3048,-0.5079,bos_long_rr2.0_sl0.8_h6_b0.2_cd0,4,0,1,0,4,1,-37.7052,0.3333
277,-108.4643,0.5230701176975481,0.3971,-0.3916,bos_short_rr1.5_sl0.8_h6_b0.1_cd0,4,1,1,0,4,1,-50.7869,0.343
263,-110.6068,0.497818185945676,0.384,-0.4206,bos_short_rr1.5_sl0.8_h6_b0.2_cd0,4,1,1,0,4,1,-49.9394,0.3384
225,-111.5735,0.44328795584763825,0.3111,-0.4959,bos_long_rr2.0_sl0.8_h6_b0.1_cd0,4,0,1,0,4,1,-43.199,0.3511
274,-112.293,0.5147108395204716,0.3759,-0.4098,bos_short_rr1.5_sl0.8_h12_b0.1_cd0,4,1,1,0,4,0,-51.6486,0.3431
261,-113.7314,0.4915432609858029,0.3678,-0.4358,bos_short_rr1.5_sl0.8_h12_b0.2_cd0,4,1,1,0,4,0,-49.5602,0.3372
229,-115.9061,0.3971961474591777,0.3493,-0.5061,bos_long_rr1.5_sl0.8_h6_b0.2_cd0,4,0,1,0,4,0,-44.0454,0.3319
243,-118.4746,0.41386581229394326,0.358,-0.4875,bos_long_rr1.5_sl0.8_h6_b0.1_cd0,4,0,1,0,4,0,-48.3292,0.3457
224,-118.6608,0.4042342961115329,0.3393,-0.5297,bos_long_rr1.5_sl0.8_h12_b0.2_cd0,4,0,1,0,4,0,-44.9395,0.3348
202,-120.3418,0.39819892443543864,0.2673,-0.5958,bos_long_rr2.0_sl0.8_h12_b0.2_cd0,4,0,1,0,4,0,-44.8422,0.3366
256,-124.8392,0.33629320249088357,0.4375,-0.4877,bos_long_rr1.0_sl0.8_h6_b0.2_cd0,4,0,1,0,4,0,-46.509,0.3281
218,-125.3819,0.4147749125302923,0.2706,-0.5751,bos_long_rr2.0_sl0.8_h12_b0.1_cd0,4,0,1,0,4,0,-47.114,0.3532
253,-126.7472,0.3372612257617873,0.4387,-0.501,bos_long_rr1.0_sl0.8_h12_b0.2_cd0,4,0,1,0,4,0,-47.9834,0.332
240,-127.5132,0.40259262018240827,0.3375,-0.5313,bos_long_rr1.5_sl0.8_h12_b0.1_cd0,4,0,1,0,4,0,-50.4915,0.3458
274,-130.0478,0.34620402298706104,0.4416,-0.4746,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,4,0,1,0,4,0,-49.2491,0.3394
317,-134.4013,0.4142810325637421,0.4637,-0.424,bos_short_rr1.0_sl0.8_h6_b0.1_cd0,4,1,1,0,4,1,-57.5139,0.3533
271,-134.4631,0.34109712688512633,0.4391,-0.4962,bos_long_rr1.0_sl0.8_h12_b0.1_cd0,4,0,1,0,4,0,-51.0485,0.3395
315,-136.8888,0.4092151845414914,0.4635,-0.4346,bos_short_rr1.0_sl0.8_h12_b0.1_cd0,4,1,1,0,4,0,-57.7538,0.3524
299,-142.9813,0.36628365396335044,0.4415,-0.4782,bos_short_rr1.0_sl0.8_h6_b0.2_cd0,4,0,1,0,4,0,-66.5243,0.3545
297,-144.5093,0.3651896818553016,0.4411,-0.4866,bos_short_rr1.0_sl0.8_h12_b0.2_cd0,4,0,1,0,4,0,-67.2065,0.3535
